name,rate,duration,tags,decibel,trackbegin,trackend,miss
1f1n1ty & LOrbSheddy & PSMD - Dark Matter Suite Remix,2,389.07356,"[""GEO"",""REMIX""]",100,,,false
1f1n1ty x PSMD - Calm Craggy Area Remix,1,344.42449,"[""GEO"",""REMIX""]",120,,,true
300 Violin Orchestra - Jorge Quintero,3,178.213152,"[""EPIC""]",100,,,false
45 Nen No Yukizakura,3,139.389388,"[""OSU"",""FAV""]",100,,,false
A SAKA - Nanatsu Issenzakura,4,117.56263,"[""OSU""]",120,20.6,45,false
Aaro - Indestructable,4,233.151565,"[""YT""]",100,187.4,218,false
Addiction - GigaReol EVO,2,196.231837,"[""OSU"",""LYRIC""]",100,,,false
AeronMusic - Voluto,3,197.532154,"[""GEO""]",100,,,false
Aexly - ChinaH,3,231.433288,"[""YT""]",100,,,false
Ahxello - Frisbee,3,191.193107,"[""YT""]",100,,,false
Alan Walker - Force,3,239.304853,"[""YT""]",100,,,false
Alan Walker - Spectre  Force  Fade NCS Tribute Remake,2,730.109388,"[""YT""]",100,,,false
Alan Walker - The Spectre,3,206.309297,"[""YT""]",100,,,false
"Alan Walker, Sabrina Carpenter x Farruko  - On My Way",3,216.886,"[""LYRIC"",""EN""]",100,171,197,false
Alec Benjamin - Let Me Down Slowly,3,177.377234,"[""LYRIC"",""EN""]",100,,,false
Aleph0,3,139.714467,"[""OSU""]",100,,,false
Alex Skrindo - Stahl Moments,3,196.092517,"[""YT""]",100,,,false
Arash - Broken Angel,3,202.779864,"[""LYRIC"",""EN""]",100,,,false
Asu no Yozora Shoukaihan - Yuaru,3,177.031837,"[""OSU"",""LYRIC""]",100,,,false
At The Nationals,2,242.903946,"[""YT""]",100,,,false
Aurora Theory (Redux),3,250.75229,"[""YT""]",100,,,false
Beast - Fiction,3,,"[""NEW""]",100,,,true
BGAPCU - BGA,3,142.500862,"[""OSU""]",100,,,false
BlackHole - Cosminox,5,338.10576,"[""GEO""]",120,75.4,96.7,false
BlackHole - Lagomorphic,5,144.056599,"[""YT"",""OSU""]",100,107.5,127,false
BlackHole - On The Edge,3,178.050612,"[""YT""]",100,,,false
BlackHole - Recalcitrate,3,353.570249,"[""YT""]",100,,,false
BlackHole - Soar Original Mix,3,335.098776,"[""YT""]",100,,,false
Blackhole - SunStorm,3,,"[""NEW""]",100,,,false
BlackHole12 - The Dark Temple,4,204.149841,"[""YT""]",100,,,false
Blue Archive OST 113 - Usagi Flap,4,127.268571,"[""GAME"",""OSU""]",100,,,false
Blue Archive OST 159 - OperationDOTABATA,2,117.53941,"[""GAME""]",100,,,false
